candidate_index,state_id,config_id,s2,original_stratum,discovery_class,confirmation_class,widen_ratio_over_base,shrink_ratio_over_base,widen_minus_base_m2,widen_paired_se,widen_support_ratio_abs_delta_over_2se,shrink_minus_base_m2,shrink_paired_se,shrink_support_ratio_abs_delta_over_2se,widen_support,shrink_support,direction_margin,discovery_ambiguity_reason,confirmation_ambiguity_reason,p_ref_full,p_ref_full_se,minimum_arm_ess,hold_proximity_score_diagnostic_only
54,c017_s2_00125,m1d_b20260827_c017,1.25,G-W,WIDEN,,-0.042448902054591175,0.020368597840662694,-0.004571682812193669,0.0019126259735982331,1.1951324710897182,0.0021936673070339597,0.00040186776453739214,2.729339723925341,True,True,0.06560224308659851,,,0.080947,0.0002806806576501973,5935.4880410535925,0.042448902054591175
55,c017_s2_00160,m1d_b20260827_c017,1.6,G-W,AMBIGUOUS,,-0.20890669625793268,0.21888909598587558,-0.02768405494586526,0.015077210838760222,0.9180761362935773,0.0290069101128378,0.027376960896102226,0.5297686295955449,False,False,0.5407652804292846,unsupported_required_contrast,,0.080947,0.0002806806576501973,4063.639825887128,0.21888909598587558
56,c017_s2_00200,m1d_b20260827_c017,2.0,G-W,AMBIGUOUS,,-0.15420063174303456,0.03930203396224363,-0.01686238074629479,0.006278694569707536,1.3428253723034855,0.0042978154712073014,0.00824557414695666,0.2606134754602608,True,False,0.228780811345427,unsupported_required_contrast,,0.080947,0.0002806806576501973,5914.150135758545,0.15420063174303456
57,c017_s2_00250,m1d_b20260827_c017,2.5,G-H,AMBIGUOUS,,0.05253429655044717,0.15244399724893354,0.004308629928427336,0.004648274566869129,0.46346551461668906,0.012502780318474798,0.005146490808146097,1.2146898522275447,False,True,0.052534296550447154,no_unique_preregistered_class,,0.080947,0.0002806806576501973,7121.8422590875925,0.15244399724893354
58,c017_s2_00320,m1d_b20260827_c017,3.2,G-H,AMBIGUOUS,,-0.09134632979661705,0.096698404580005,-0.007763760083170651,0.0029456270118101853,1.3178450720411412,0.008218646718002412,0.004969012289004102,0.8269899770815025,True,False,0.20694874245600323,unsupported_required_contrast,,0.080947,0.0002806806576501973,7064.003847364863,0.096698404580005
59,c017_s2_00400,m1d_b20260827_c017,4.0,G-H,AMBIGUOUS,,-0.03400787860690435,0.16748798623171535,-0.0024985273589521063,0.0033143284039430193,0.3769281517153877,0.012305187298886033,0.0032464365161945425,1.8951837249092607,False,True,0.20858955303696927,unsupported_required_contrast,,0.080947,0.0002806806576501973,7605.424819820296,0.16748798623171535
60,c017_s2_00500,m1d_b20260827_c017,5.0,G-S,AMBIGUOUS,,-0.0035765564512600934,0.06755651997761625,-0.0002806520478087136,0.00255151513488321,0.05499713561792371,0.0053011537586298094,0.002983262114042614,0.8884827339972189,False,False,-0.003576556451260047,no_unique_preregistered_class,,0.080947,0.0002806806576501973,8065.164278447123,0.06755651997761625
61,c017_s2_00640,m1d_b20260827_c017,6.4,G-S,AMBIGUOUS,,0.10660029678359595,0.02517442623491073,0.008092241326906965,0.0026206241477539625,1.5439530567255357,0.0019110409492843513,0.002614982666484097,0.3654022211653488,True,False,0.02517442623491084,no_unique_preregistered_class,,0.080947,0.0002806806576501973,8084.266980451134,0.10660029678359595
62,c017_s2_00800,m1d_b20260827_c017,8.0,G-S,AMBIGUOUS,,0.027455613804270307,-0.04499165355389567,0.002164257397136062,0.0019478658941002574,0.5555457908296502,-0.003546579570486872,0.0028012253635307945,0.6330407429298367,False,False,0.0758603499411977,unsupported_required_contrast,,0.080947,0.0002806806576501973,7909.980494838626,0.04499165355389567
63,c020_s2_00125,m1d_b20260827_c020,1.25,G-W,WIDEN,WIDEN,-0.12005645954592203,0.16139290906614412,-0.02011926304407971,0.002847855860613403,3.5323527644664923,0.02704649465120172,0.0037077908299579343,3.6472519475307843,True,True,0.3198493490466783,,,0.11257399999999998,0.00027733354419695084,6334.731911395481,0.16139290906614412
64,c020_s2_00160,m1d_b20260827_c020,1.6,G-W,WIDEN,WIDEN,-0.12910044567699452,0.17042755801035603,-0.01884339185448811,0.0015794303314895996,5.96524945697239,0.024875462215115468,0.001999653794488441,6.219942242921906,True,True,0.34392944881018905,,,0.11257399999999998,0.00027733354419695084,7440.192184066207,0.17042755801035603
65,c020_s2_00200,m1d_b20260827_c020,2.0,G-W,WIDEN,WIDEN,-0.0662521221108685,0.11933042643754477,-0.007923774641162446,0.0011706394503701563,3.3843787848841704,0.014271956532088247,0.0018305274512977565,3.898318083667664,True,True,0.19875016901558987,,,0.11257399999999998,0.00027733354419695084,9032.616659632204,0.11933042643754477
66,c020_s2_00250,m1d_b20260827_c020,2.5,G-H,WIDEN,WIDEN,-0.05111305903068042,0.09594743395821093,-0.005652592341027609,0.0014189061782411375,1.9918837579643596,0.010610825112382528,0.0015489039547655634,3.4252689070022244,True,True,0.15498210233419818,,,0.11257399999999998,0.00027733354419695084,10118.416815825847,0.09594743395821093
67,c020_s2_00320,m1d_b20260827_c020,3.2,G-H,WIDEN,,-0.024320621226865846,0.042701442190358874,-0.0027298737502857015,0.0011804027075981327,1.1563315352945993,0.004793033247277241,0.001075892194253774,2.2274691055834044,True,True,0.0686927128679314,,,0.11257399999999998,0.00027733354419695084,10955.962391770183,0.042701442190358874
68,c020_s2_00400,m1d_b20260827_c020,4.0,G-H,AMBIGUOUS,,0.016814564644732632,-0.013204128802731474,0.0017911606078954887,0.0013206964975112805,0.6781121216232308,-0.0014065612683251565,0.0016690762422472438,0.42135920239070773,False,False,0.030420367903488368,unsupported_required_contrast,,0.11257399999999998,0.00027733354419695084,11525.919287498633,0.016814564644732632
69,c020_s2_00500,m1d_b20260827_c020,5.0,G-S,AMBIGUOUS,,0.02299199715903333,-0.02605254993892292,0.0025177536360017857,0.0015965319631034496,0.788507118613398,-0.0028529014631540573,0.0013707511162550606,1.0406343753154412,False,True,0.05035646132127631,unsupported_required_contrast,,0.11257399999999998,0.00027733354419695084,11177.502953855785,0.02605254993892292
70,c020_s2_00640,m1d_b20260827_c020,6.4,G-S,SHRINK,SHRINK,0.08206768451249968,-0.03506843922993519,0.009442767043293467,0.0019922980409336705,2.36981788098035,-0.004034999941660774,0.001692852893138105,1.191775126479225,True,True,0.12139319357422022,,,0.11257399999999998,0.00027733354419695084,10379.197312514041,0.08206768451249968
71,c020_s2_00800,m1d_b20260827_c020,8.0,G-S,SHRINK,SHRINK,0.07945384251000176,-0.08383118193510641,0.009650930958740636,0.001830814830483196,2.6356928068453334,-0.010182628347313646,0.0016499297519376745,3.0857763293725644,True,True,0.17822591341843996,,,0.11257399999999998,0.00027733354419695084,9613.778164563406,0.08383118193510641
