config_id,theta_S1,theta_S2,theta_S3,theta_S4,h_S1,h_S2,h_S3,h_S4,curved_S2,curved_S3,curved_S4,P_S2,P_S3,P_S4,L_S2,L_S3,L_S4,rank_P_S2,rank_P_S3,rank_P_S4,rank_L_S2,rank_L_S3,rank_L_S4,k_P_star,k_V_star,kendall_tau,spearman_rho,omega_top,E1,E2,E3,E4,E5,E6,eligible
m1d_b20260827_c052,146.54838653059866,88.67945783635572,27.664043149231404,200.7224262044213,1.8491899671781042,1.8513951065138796,1.998494652070136,1.8883534057838387,0,0,0,0.027105051462849007,0.02258957362328563,0.029473238891276753,0.022515263686556087,4.117013938405621,0.045721933992909684,2,3,1,3,1,2,S4,S3,-0.3333333333333333,-0.5,0.9836957937622601,1,1,1,0,1,0,0
m1d_b20260827_c053,239.59996910177767,73.25704569493541,311.6403963559066,2.298742949169532,1.9833462673870514,2.079497654304377,1.5825714147153747,2.5181328188651007,0,0,1,0.018973976892057567,0.05425784262505151,0.0026609897896946243,22.5474612664587,0.37092044093434695,0.3567572506051593,2,1,3,1,2,3,S3,S2,0.3333333333333333,0.5,0.968735839006046,1,1,1,1,1,0,0
m1d_b20260827_c054,123.00108777789755,14.054707276836801,302.96700544755686,262.7650919514417,1.8876873443657702,1.7784482125835621,2.1243352704649334,1.592454777476634,1,0,0,0.015947983039882603,0.00563492535894943,0.05530951700676386,1.3572961410587707,3.3268289344581103,15.484303921398558,2,3,1,3,2,1,S4,S4,0.3333333333333333,0.5,0.7677496310578642,1,1,0,1,1,1,0
m1d_b20260827_c055,237.65416870712835,176.2210766650117,91.71496735024563,17.951520677081703,1.944045651075418,2.458620061343671,2.5185365422093025,1.7379546373671775,0,0,1,0.006889582178744578,0.005891966050647397,0.02248433042015358,0.010858143701903121,7.8297646623415345,5.6468180515963144,2,3,1,3,1,2,S4,S3,-0.3333333333333333,-0.5,0.5805226317568233,1,1,1,0,1,1,0
m1d_b20260827_c056,225.8527646274775,313.95318828859104,130.5789023450271,172.83324431639707,1.6116145298792135,1.825391341082467,1.7965841679133765,1.7901430917741372,0,0,0,0.033946051529000376,0.021524370434236845,0.03672954157939237,0.4104999568304382,0.6277104987776112,0.038651398586683226,2,3,1,2,1,3,S4,S3,-1.0,-1.0,0.5829071726633007,1,1,1,1,1,1,1
m1d_b20260827_c057,215.2585684600503,168.1009105927911,119.99595148353666,296.7763421711764,1.723370309881048,2.57166609361155,1.5420373753002885,1.6316330414467504,1,1,0,0.002226700202242242,0.03455386205467569,0.05161145731801189,0.00023908185774055462,0.18767589480484537,0.5620470973249241,3,2,1,3,2,1,S4,S4,1.0,1.0,0.7494340271589314,1,1,0,0,1,1,0
m1d_b20260827_c058,152.10596000035343,110.78583661330566,246.80111518337426,306.07531622867356,1.8034706992672382,1.561544254174686,1.8239100746133439,1.7816613695289478,0,1,1,0.059291786759579836,0.014679420792373441,0.020198936145997166,0.04613578281065737,0.225060332060893,5.134271154527742,1,3,2,3,2,1,S2,S4,-0.3333333333333333,-0.5,0.9498292929444214,1,1,1,1,1,0,0
m1d_b20260827_c059,141.81775689801182,37.264038320500376,289.1378476566909,197.85225438276893,1.8130284614421346,1.764844274564033,2.3733493067329,2.1519878446726217,0,0,1,0.038735965867347864,0.008769761378676874,0.009290098218284826,2.355296515673958,5.313498217327367,0.005119688278282584,1,3,2,2,1,3,S2,S3,-0.3333333333333333,-0.5,0.6924104082517711,1,1,1,1,1,1,1
m1d_b20260827_c060,120.23928066933283,257.1231833133683,198.52108467308346,35.11155331505685,1.6828320503854055,2.1118218858522413,2.359789965879979,2.2312258973167705,0,1,0,0.016798266251971332,0.005240496103215871,0.012750803919122788,3.187912873027888,0.010534326479726639,0.14617195442353006,1,3,2,1,3,2,S2,S2,1.0,1.0,0.953146748944773,1,1,0,0,1,0,0
m1d_b20260827_c061,194.10352935758556,58.81898782493173,11.188843804430682,118.27956333486189,1.8929708297824022,1.78175801299159,2.100230076729459,2.576070815027567,0,0,0,0.02799726965890392,0.017731905171865764,0.005019671028682734,3.121391604982681,14.975437721659576,0.04313884474524662,1,2,3,2,1,3,S2,S3,0.3333333333333333,0.5,0.8255492832275528,1,1,1,1,1,1,1
m1d_b20260827_c062,229.80979974063376,56.036171933111504,306.52117568679796,114.08040654617105,1.7066312680110451,1.9403570290613827,2.3935549535329734,2.568523299432182,0,0,0,0.02469539237455881,0.00835969965549292,0.005097103234705565,6.938614171302494,0.04942639942068515,0.6227819780260945,1,2,3,1,3,2,S2,S2,0.3333333333333333,0.5,0.9116773025331871,1,1,0,1,1,0,0
m1d_b20260827_c063,150.8808358408573,279.98051683553496,350.0399340211098,194.4811464955053,1.550192943942692,1.5033738278789022,2.512897745639639,2.503034426010043,0,0,1,0.0647445301314053,0.005935443703197612,0.0031857711666621533,2.485056971221507,1.6200259413828804,0.00031774795163970633,1,2,3,1,2,3,S2,S2,1.0,1.0,0.6053141158906853,1,1,0,0,1,1,0
